,Reef_Name,Reef_Material,Sampling_Event,Reef_or_Control,Year,Alosa_sp,Anchoa_mitchilli,Anguilla_rostrata,Aplodinotus_grunniens,Atractosteus_spatula,Bagre_marinus,Bairdiella_chrysoura,Brevoortia_patronus,Caranx_sp,Carpiodes_sp,Chaenobryttus_gulosus,Ctenogobius_boleosoma,Ctenopharyngodon_idella,Cynoscion_nebulosus,Cyprinella_venusta,Cyprinidae_sp,Cyprinodon_variegatus,Dorosoma_cepedianum,Dorosoma_petenense,Elops_saurus,Esox_americanus,Fundulus_grandis,Fundulus_olivaceus,Gambusia_affinis,Hybognathus_nuchalis,Hypophthalmichthys_molitrix,Hypophthalmichthys_nobilis,Ictalurus_furcatus,Ictalurus_punctatus,Ictiobus_sp,Labidesthes_sicculus,Lagodon_rhomboides,Larimus_fasciatus,Leiostomus_xanthurus,Lepisosteus_spp,Lepomis_humilis,Lepomis_macrochirus,Lepomis_megalotis,Lepomis_miniatus,Lepomis_sp,Lucania_parva,Macrhybopsis_storeriana,Membras_martinica,Menidia_beryllina,Menticirrhus_americanus,Micropogonias_undulatus,Micropterus_salmoides,Minytrema_melanops,Morone_chrysops,Moxostoma_poecilurum,Mugil_cephalus,Notropis_longirostris,Notropis_spp,Notropis_volucellus,Opisthonema_oglinum,Paralichthyes_lethostigma,Percina_spp,Pimephales_vigilax,Pogonias_cromis,Polyodon_spathula,Pylodictus_olivarus,Sciaenops_ocellatus,Sphoeroides_parvus,Trinectes_maculatus
West End Pier (1-R),WEP,Limestone_crushed_concrete,1,Reef,2016,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Lake Front (1-R),LF,Limestone_crushed_concrete,1,Reef,2014,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
Laketown (1-R),LT,Limestone_crushed_concrete,1,Reef,2001,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0
West End Pier (1-C),WEP,Limestone_crushed_concrete,1,Control,2016,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Lake Front (1-C),LF,Limestone_crushed_concrete,1,Control,2014,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0
Laketown (1-C),LT,Limestone_crushed_concrete,1,Control,2001,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
West End Pier (2-R),WEP,Limestone_crushed_concrete,2,Reef,2016,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
Lake Front (2-R),LF,Limestone_crushed_concrete,2,Reef,2014,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Laketown (2-R),LT,Limestone_crushed_concrete,2,Reef,2001,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
West End Pier (2-C),WEP,Limestone_crushed_concrete,2,Control,2016,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
